,username,description,location,following,followers,totaltweets,tweetid,source,tweetdate,tweetlength,likescount,retweetcount,text,hashtags,len_hashtags,city,country,Subjectivity,Polarity,Analysis
732,KansasCounties,"The Kansas Association of Counties seeks to advance the public interest by promoting effective, responsive county government in Kansas.","Topeka, Kansas",115,1301,6287,1336759717461438464,TWEETDECK,2020-12-09,180,0,1,covid19vaccine update nations first doses pfizers vaccine could ship early friday dependent fdas vote outcome tomorrows meeting,['COVID19Vaccine'],1,Topeka,USA,0.31666666666666665,0.175,Positive
735,tdurbo,"#DCFC #Autism #TheSmiths #U2 #BedroomDJ #FilmStar: #SavingPrivateRyan (dead man on beach), #PeakPractice (man walking down street) #Philanthropist #Liar","Pinxton, Derbyshire",446,468,9578,1336759364196163584,APPLE,2020-12-09,166,0,0,im still bit pissed didnt say one small prick one giant prick mankind definitely wouldve covid19vaccine,['COVID19Vaccine'],1,Pinxton,DERBYSHIRE,0.6333333333333333,-0.08333333333333333,Negative
736,OurWeeklyNews,"OurWeekly provides handpicked news + breaking alerts from South L.A., Greater L.A. County, SoCal + California.","Los Angeles, CA",909,1416,2366,1336759269719339009,WEB,2020-12-09,163,0,0,ralphs provide covid19 vaccine la county pharmacies available covid19vaccine coronavirusupdates,"['COVID19Vaccine', 'CoronaVirusUpdates']",2,Los Angeles,USA,0.4,0.4,Positive
737,NAT_AIDS_Trust,"We’re the UK’s #HIV rights charity. We work to stop HIV from standing in the way of health, dignity and equality, and to end new HIV transmissions.","London, UK",2625,21918,10278,1336759262832447491,APPLE,2020-12-09,120,18,8,people living hiv able get covid19vaccine group 6 priority list,['COVID19Vaccine'],1,London,ENGLAND,0.625,0.5,Positive
739,thebuddhistgoth,I'm the grubby looking bloke who works in a grubby garage. i haven't washed my clothes in 20 years and i bathe mindfully in grease and chip fat,"England, United Kingdom",6,10,347,1336759195354402818,ANDROID,2020-12-09,249,0,0,trying take dump peace got fizz tyrone standing outside door trying get go rovers pint wouldnt mind pint fair wish theyd fuck let shit covid19vaccine corrie,"['COVID19Vaccine', 'corrie']",2,England,ENGLAND,0.5875,0.02499999999999998,Positive
740,KatieVasquezTV,5th Gen #NYer | @News12BK reporter | @NAHJ Member | Proudly #Irish & #PuertoRican |@oswegoalumni & @mizzoualumni | Email me kvasquez@news12.com,"Brooklyn, NY",755,1088,2917,1336759138811047936,APPLE,2020-12-09,179,3,0,nys federation taxi drivers appealing allot 30k doses covid19vaccine members story tonight amp,['COVID19Vaccine'],1,Brooklyn,USA,0.5,0.5,Positive
742,NinaFlorezRueda,🌟Emmy Award winning journalist🏆Assignment Desk Editor @nbcchicago🎥Colombiana🇨🇴 @Illinois_Alma alumna👩🏻‍🎓World Traveler🙏🏻✈️🌎 All opinions are my own.,"Chicago, IL",939,172,278,1336758826100531201,WEB,2020-12-09,173,0,0,goal every chicagoan vaccinated end 2021 mayor lori lightfoot todays press conference vaccine efforts city covid19vaccine,['COVID19Vaccine'],1,Chicago,USA,0.0,0.0,Neutral
744,rm1122339_m,"Im an acquired taste. You either like me or hate me . Living the world through a bubble with #BPD . The Sea ,and animals is my calm .","East, England",614,300,9496,1336758731456061440,APPLE,2020-12-09,263,3,0,time since ive done volunteering today ive applied voluntary covid vaccinator hope get role wouldve nice help nhs hopefully stop tracks please send good vibe covid19vaccine volunteers,"['COVID19Vaccine', 'volunteers']",2,East,ENGLAND,0.8,0.6499999999999999,Positive
745,PlattscChris,"Still out on the tiles after all these years!!!!!!(roofer) golfer, smiler!#🦊💙LCFC","East Midlands, England",699,497,19876,1336758720865427465,APPLE,2020-12-09,148,0,0,everyone still looking forward seeing piers suzannagmgb covid19vaccine,"['Piers', 'COVID19Vaccine']",2,East Midlands,ENGLAND,0.0,0.0,Neutral
746,Victori88325151,Mother | Marketer | Social Activist | Voice Of Reason,"Chattanooga, TN",53,5,46,1336758719560998912,WEB,2020-12-09,187,0,0,would improve image encourage review successful covid19 medication please encourage ivermectin review people suffering dying covid19vaccine,"['COVID19', 'COVID19Vaccine']",2,Chattanooga,USA,0.95,0.75,Positive
747,J_KnightNY,I Remember 💔🎶 Out Now! • Singer/Songwriter • ❤️ My Dog • A Little Weird • Rants Occasionally • You Like My Music You Just Don’t Know It Yet 😘 • IG: jknightny,"Buffalo, NY",6842,10303,38097,1336758674241556487,APPLE,2020-12-09,108,1,0,largest beta test human history begins covid19 covid19vaccine,"['COVID19', 'COVID19Vaccine']",2,Buffalo,USA,0.1,0.0,Neutral
748,kai32811551,against regime change war. against corporate money in politics. progressive ✊🏾     Chemistry Student,"London, England",271,85,928,1336758461087014915,APPLE,2020-12-09,85,1,0,live music come back music covid19 covid19vaccine,"['music', 'COVID19', 'COVID19Vaccine']",3,London,ENGLAND,0.25,0.06818181818181818,Positive
750,JoeBillionz,Remake the world #contentwriter supporting #localbusiness & #localchefs #tech4good #endpoverty #education #socialjustice | No DMs Thx,"San Francisco, California",3689,3804,4529,1336758272934678544,BUFFER,2020-12-09,202,1,0,doesnt piss youve got connection loose trump spent 15 billion border wallbut skimped vaccines breakingnews covid19vaccine,"['BreakingNews', 'COVID19Vaccine']",2,San Francisco,USA,0.18461538461538463,-0.08846153846153847,Negative
752,thebuddhistgoth,I'm the grubby looking bloke who works in a grubby garage. i haven't washed my clothes in 20 years and i bathe mindfully in grease and chip fat,"England, United Kingdom",6,10,347,1336757815009046528,ANDROID,2020-12-09,225,0,0,look r jack manly apron catch looked bit knackered weather beaten generally grubbyim sure sally would love piece covid19vaccine corrie,"['COVID19Vaccine', 'Corrie']",2,England,ENGLAND,0.662962962962963,0.35000000000000003,Positive
754,lightning_waltz,#Resistance 🌎 #BlueWave 🦋 Healthcare IT 💙 Foo Fighters 🤘U2 😎DMB 🏳️‍🌈LGBTQ rights🏳️‍🌈 ♀️ 🕉Hippy heart Scottish soul🏴󠁧󠁢󠁳󠁣󠁴󠁿 🏥 🖥 ⌨ 🚑👩‍💻,"Arizona, USA",5704,5686,21880,1336757781035057152,ANDROID,2020-12-09,142,0,0,healthcare worker queue receive covid vaccine december 28th rollupyoursleeve vaccineswork covid19vaccine,"['RollUpYourSleeve', 'VaccinesWork', 'COVID19Vaccine']",3,Arizona,USA,0.0,0.0,Neutral
755,megan_frame13,Christ Follower | Critical Thinker | LU '22 | Future Mrs. Dobbins 💍 | Instagram: @conversationswithmeg,"West Virginia, USA",96,78,722,1336757516689141761,APPLE,2020-12-09,216,0,0,among concerns yeadon wodart warn vaccines may prevent safe development placentas pregnant women resulting vaccinated women essentially becoming infertile covid19vaccine,['COVID19Vaccine'],1,West Virginia,USA,0.6166666666666667,0.42777777777777776,Positive
759,megan_frame13,Christ Follower | Critical Thinker | LU '22 | Future Mrs. Dobbins 💍 | Instagram: @conversationswithmeg,"West Virginia, USA",96,78,722,1336757303727558658,APPLE,2020-12-09,73,0,0,oh wonderful sounds safe covid19vaccine,['COVID19Vaccine'],1,West Virginia,USA,0.75,0.75,Positive
760,LarkinLawFirm,"A full-service business law firm with more than 20 service areas, including corporate, franchise, govt. relations, health care, IP, litigation and real estate.","Minneapolis & Rochester, MN",337,378,533,1336757206692327432,WEB,2020-12-09,278,0,0,employer require employees vaccinated covid19 phyllis karasov daniel ballintine discuss practical legal issues associated employer mandatory vaccination program vaccine employmentlaw covid19vaccine covid19,"['employer', 'vaccinated', 'legal', 'vaccination', 'vaccine', 'employmentlaw', 'COVID19Vaccine', 'COVID19']",8,Minneapolis & Rochester,USA,0.2,0.2,Positive
771,oakvilleFLA,"Official account for the Oakville Federal Liberal Association (#OFLA) of #Oakville, Ontario. https://t.co/YKQKay407B","Oakville, Ontario",615,342,2681,1336756334046437377,APPLE,2020-12-09,254,0,0,canpoli pfizer covid19vaccine strongertogether flattenthecurve wearamasksavealife health canada approves pfizerbiontech covid19 vaccine,"['canpoli', 'Pfizer', 'COVID19Vaccine', 'StrongerTogether', 'FlattenTheCurve', 'WearAMaskSaveALife']",6,Oakville,CANADA,0.0,0.0,Neutral
774,IBD_AGatlin,"#Biotech, #pharma and #medtech reporter for @IBDinvestors. @Cronkite_ASU alumna, taco connoisseur and twin mom.","California, USA",785,6218,5028,1336756232313434113,WEB,2020-12-09,154,2,0,pfe stock trips uk notes possible allergic reaction covid19vaccine bntx stocks investingnews coronavirusvaccine,"['COVID19Vaccine', 'stocks', 'investingnews', 'CoronavirusVaccine']",4,California,USA,1.0,0.0,Neutral
775,Julie_A_McLeod,"Métis. Actor. Mediator. Liberal campaigner. 🇨🇦 Evolving daily. Be where your hands are. ""Democracy doesn't happen by accident, you've got to work at it”.","Oakville, Ontario, Canada",2964,4614,96012,1336756226298929152,APPLE,2020-12-09,254,0,0,canpoli pfizer covid19vaccine strongertogether flattenthecurve wearamasksavealife health canada approves pfizerbiontech covid19 vaccine,"['canpoli', 'Pfizer', 'COVID19Vaccine', 'StrongerTogether', 'FlattenTheCurve', 'WearAMaskSaveALife']",6,Oakville,CANADA,0.0,0.0,Neutral
780,juliettejenn03,"“If we can decide not to cooperate, we can decide to cooperate “ President Elect USA 🇺🇸 Joe Biden 11/7/2020","Manhattan, NY",4210,1460,39291,1336755684780683267,APPLE,2020-12-09,69,0,0,right arm ready wheres vaccine sleeves covid19vaccine,"['vaccine', 'COVID19Vaccine']",2,Manhattan,USA,0.5178571428571428,0.24285714285714285,Positive
781,JudithSusan12,Former stage actress and later human resources manager; widow of actor Stanley Anderson; supporter of liberal causes,"Ashburn, VA",69,100,19437,1336755536109465601,APPLE,2020-12-09,277,0,0,covid19vaccine vips allowed go ahead cdcprioritized groups getting vaccinated real problem mitch ivanka betsy example getting shots healthcare workers nursing home residents allowed cut line,['COVID19Vaccine'],1,Ashburn,USA,0.30000000000000004,0.2,Positive
784,VeritasRadioNet,"Independent Radio Station Ft. The Mike Church Show. It’s Not Just Talk, It’s Radio!","New Orleans, LA",270,2361,30367,1336755437165801473,LIBSYN ON-PUBLISH,2020-12-09,216,1,0,920 people vs deep state updates electionlitigation texas scotus case amp covid19vaccine amp breakingnews,"['electionlitigation', 'SCOTUS', 'COVID19Vaccine', 'BreakingNews']",4,New Orleans,USA,0.4,0.0,Neutral
787,AlertingMainSt,"3X startup exits | #Veteran | Alum @JohnsHopkins, @UTexasMcCombs, @GeorgeMasonU, @MassChallenge, & @TXVentureLabs","Austin, TX",679,428,4037,1336755258576547850,APPLE,2020-12-09,229,0,0,less 1 serious reaction reason get vaccinated something aware monitor like would vaccinations pfizervaccine unitedkingdom covid19 covid19vaccine,"['Pfizervaccine', 'UnitedKingdom', 'COVID19', 'COVID19Vaccine']",4,Austin,USA,0.3277777777777778,-0.08333333333333333,Negative
789,LoveyGoofy2020,"Knowledge, wisdom, kindness, patience, understanding and respect are essentials. Twitter is not a dating site. No DMs☺️","Los Angeles, CA",87,26,768,1336755116431425536,APPLE,2020-12-09,293,0,0,im one read news potential side effects including allergies temporary fever dont allergies still id better wait see unless required get planes options covid19vaccine,['COVID19Vaccine'],1,Los Angeles,USA,0.75,0.25,Positive
791,Presidan,"Love being a dad, Hockey Enthusiast (#gohabsgo), Gadgets, Music, Chips & Hot Sauce🔥🌶️. Witty sense of humour. Keep the conversation going.
Montréal✈️➡️Calgary","Montreal, Calgary",413,336,9627,1336754971845398529,ANDROID,2020-12-09,213,2,0,think searched words next 5 years 2020 covid19 2021 covid19vaccine 2022 covid19 vaccine side effects 2023 zombie apocalypse 2024 http 404 error page found,"['COVID19', 'COVID19Vaccine', 'Zombie']",3,Montreal,CALGARY,0.0,0.0,Neutral
792,DiamondHunter80,Off duty drag queen. He/Him. Always tryin to better myself. out and proud. logically opinionated. single dog dad. #KHive,"Kentucky, USA",827,489,14449,1336754579367714819,APPLE,2020-12-09,116,1,0,think jenny mccarthy could good filming taking covid19vaccine showing world,['COVID19Vaccine'],1,Kentucky,USA,0.6000000000000001,0.7,Positive
793,mbesheer,"Voice of America UN Correspondent, currently covering #coronavirus #COVID-19 in NYC #flattenthecurve #StayAtHome #WASHYOURHANDS","New York, NY",1017,9770,13181,1336754386106785796,WEB,2020-12-09,282,3,1,covid19vaccine turn would take publicly encourages everyone access vaccinated saying moral obligation amp service whole community bc longer spread,['COVID19Vaccine'],1,New York,USA,0.2388888888888889,0.06666666666666667,Positive
794,ARMooreeh,"freelance, artist, entrepreneur; or, get a job, ya goof!","Ottawa, Ontario",121,18,62,1336754304997351425,ANDROID,2020-12-09,173,0,0,strong must horrifying love covid19vaccine,['COVID19Vaccine'],1,Ottawa,CANADA,0.7777777777777778,0.01111111111111109,Positive
795,mariaskampoura,Blogger at https://t.co/5VDeqwF0lQ interested in #SocialMedia #DigitalMarketing #DataScience #Coding and #Startups. Supporting #BetterManagers. Views are my own.,"Birmingham, England",709,719,5123,1336754292120834048,WEB,2020-12-09,152,1,0,uk warns people serious allergies avoid pfizer vaccine two adverse reactions via covid19 covid19vaccine,"['COVID19', 'COVID19Vaccine']",2,Birmingham,ENGLAND,0.6666666666666666,-0.3333333333333333,Negative
797,mearlwilliams,,"Location, Location, Location",3940,3998,7972,1336754163162734594,WEB,2020-12-09,113,0,0,covid19uk covid19 covid19vaccine say happened see earlier posts,"['Covid19UK', 'COVID19', 'COVID19Vaccine']",3,Location,LOCATIONLOCATION,0.5,0.0,Neutral
798,NickMoody82,"should this be funny? Oh well, serious it is then.","Barrow-in-Furness, England",534,241,4117,1336754068845375491,APPLE,2020-12-09,129,0,0,caught yesterdays news covid19vaccine covid19uk vaccination,"['COVID19Vaccine', 'Covid19UK', 'vaccination']",3,Barrow-in-Furness,ENGLAND,0.0,0.0,Neutral
800,TruthWarrior81,"i want something good to die for, to make it beautiful to live!","Rossett, United Kingdom",971,1047,16336,1336753962159108096,WEB,2020-12-09,61,3,1,actual fcuk covid19vaccine,['COVID19Vaccine'],1,Rossett,ENGLAND,0.1,0.0,Neutral
801,The_Pars,RCN activist. RN seconded to Covid Response Services; tweeting personally. Candidate for RCN Scotland Board.,"Glasgow, Scotland",3907,2984,21644,1336753919574335491,APPLE,2020-12-09,219,2,0,sjham covid19vaccine today nice catch,['COVID19Vaccine'],1,Glasgow,SCOTLAND,1.0,0.6,Positive
803,HRExecMag,The premier publication focused on strategic issues in #HR since 1987. Producers of @HRTechConf & @BenefitsConf #HRTechTopInfluencers,"Palm Beach Gardens, FL",1320,16087,13613,1336753743182909451,HOOTSUITE INC.,2020-12-09,89,1,2,7 questions hr asking covid19vaccine vaccine covid19,"['HR', 'COVID19Vaccine', 'vaccine', 'COVID19']",4,Palm Beach Gardens,USA,0.0,0.0,Neutral
805,Aurigraph_io,"Mining-less DLT protocol/platform w RT Recon/Audit RT Track/Trace using Triple entry accounting  +DID/VC #ERC1056

We just made Blockchain obsolete!","Bengaluru, India",2323,321,1098,1336753706679771136,ANDROID,2020-12-09,136,0,0,covid19vaccine ecertificate solution io built dlt,"['COVID19Vaccine', 'ecertificate', 'DLT']",3,Bengaluru,INDIA,0.0,0.0,Neutral
806,IKE_DEVJI,#Lawyer 17 years protecting billions in wealth for 1000's of successful American #doctors #entrepreneurs and #businessowners #AssetProtection #CME #CLE #writer,"PHX AZ, CLIENTS EVERYWHERE",3879,2800,22798,1336753649540730881,APPLE,2020-12-09,280,3,1,covid19 vaccine legal security issues physicians healthcare leaders medtwitter vaccine covid19vaccine physicians healthcareworkers security riskmanagement compliance assetprotection law via tcox9ncninppf,"['MedTwitter', 'vaccine', 'COVID19Vaccine', 'physicians', 'HealthcareWorkers', 'security', 'riskmanagement', 'compliance', 'assetprotection', 'law']",10,PHX AZ,CLIENTSEVERYWHERE,0.2,0.2,Positive
807,shilpajo,M&A @ PwC covering #Healthcare + #HealthTech | Proud Massi (Aunt) | Coach| Mentor | Passionate about #RepresentationMatters | Views+Tweets are my own,"Toronto, Canada ",535,213,426,1336753616573624322,APPLE,2020-12-09,61,3,0,helpful thread covid19vaccine,['COVID19Vaccine'],1,Toronto,CANADA,0.0,0.0,Neutral
808,ThePatrick929,Classic Middle Child Syndrome: my parents me ignored so I need the attention and validation of others.,"Brooklyn, NY",83,16,49,1336753604925984773,APPLE,2020-12-09,118,0,0,wanna use friggin drones help distribute covid19vaccine think thats brilliant funny shit,['COVID19Vaccine'],1,Brooklyn,USA,0.9333333333333332,0.31666666666666665,Positive
810,GuildfordENT,"Mr San Sunkaraneni. Day Job - RHINOLOGIST (no, not rhinos). Day and night Job - DAD to 2 amazing boys. Also, AVFC and sports fan. My views alone. RTs just that.","Guildford, Surrey, UK",530,1329,15549,1336753421404282883,APPLE,2020-12-09,150,0,0,21000 participants treatment arm vaccine vs placebo 7 dropout due receiving 2nd dose time covid19vaccine pfizervaccine,"['COVID19Vaccine', 'Pfizervaccine']",2,Guildford,SURREYUK,0.1875,-0.0625,Negative
813,BradMBradford,Optimist. Urban Planner. Community Builder. City Councillor for #Ward19 Beaches - East York (#BEY). Instagram: @bradfordgrams,"Toronto, Ontario",2272,6781,7312,1336753263111266309,WEB,2020-12-09,301,2,0,fantastic news vaccine receiving official approval hope optimism returning wait broad rollout need stay focused prevention wear mask wash hands watch distance others covid19vaccine,['COVID19Vaccine'],1,Toronto,CANADA,0.60625,0.23125,Positive
814,maricabowabo,"Wear A Mask Save Lives😷
 Political & health interests. 
Seeker of the truth. New Chapter #46 
  🌊 President Biden &VP Harris 2021

🚫DM, ADS,TROLLS","New York, NY",3101,2426,26601,1336753248917712905,ANDROID,2020-12-09,180,0,0,covid19vaccine good cause saving lives humanitarian crisis,['COVID19Vaccine'],1,New York,USA,0.6000000000000001,0.7,Positive
815,KhaleejMag,"Voice of the People. Political, business, sports, entertainment and education news. #CoronaVirusUpdates","Dubai, United Arab Emirates ",64251,80035,13985,1336753206395871238,WEB,2020-12-09,95,5,2,order covid vaccinations ireland covidvaccine covid19vaccine,"['CovidVaccine', 'COVID19Vaccine']",2,Dubai,UNITEDARABEMIRATES,0.0,0.0,Neutral
817,FAYAZ_A_LONE,J&K Police officer. Tweeting in personal capacity.,"Srinagar, India",180,1196,255,1336753141090406400,APPLE,2020-12-09,113,5,0,hope covid19vaccine reaches general public promised doesnt seem,['COVID19Vaccine'],1,Srinagar,INDIA,0.2833333333333333,0.02500000000000001,Positive
819,JavanMwanyota,Christ is LORD and am HIS subject.,"Wundanyi , Kenya",8378,8659,12194,1336752941886300164,WEB,2020-12-09,190,0,0,tough days days depression peace lacking message like one help people watch stunning message covid19vaccine,['COVID19Vaccine'],1,Wundanyi ,KENYA,0.9166666666666667,0.05555555555555555,Positive
822,AnthonyGilgan8,Deuteronomy 31:6 Follower of the One and Only LORD Jesus Christ-He is my rock He is the Savior of all.,"Oregon, USA",548,353,1857,1336752495784181760,APPLE,2020-12-09,149,0,0,astrazeneca covid19vaccine contains 14 week old male fetal tissue changes human dna think mark beast,"['AstraZeneca', 'COVID19Vaccine', 'DNA']",3,Oregon,USA,0.13333333333333333,0.03333333333333333,Positive
824,tienvu2202,Specialist rotational clinical pharmacist at UHDB. (ICU rotation) UoN MPharm graduate. Goal: a teacher practitioner. Own views,"Nottingham, England",237,235,744,1336752281715412996,APPLE,2020-12-09,297,19,1,rolled sleeve protect 1st foremost patients colleagues family friends community city hopefully world grateful worked around develope handle administer theres covid19vaccine,['COVID19Vaccine'],1,Nottingham,ENGLAND,0.0,0.0,Neutral
827,sanamloghavi,Hematopathologist/Molecular Pathologist @mdandersonnews #endcancer #hemepath #mpnsm #lymsm #leusm #hemepathMDA Tweets are my own.,"Houston, TX",563,4603,4726,1336752100630536193,APPLE,2020-12-09,99,1,0,yes transparency thank fda covid19vaccine,['COVID19Vaccine'],1,Houston,USA,0.0,0.0,Neutral
828,TheSonOfD,Congratulations President Elect Biden!!!,"Portage, IN",73,4,338,1336751956115722245,APPLE,2020-12-09,155,0,0,apnorc poll half us want shots vaccine nears believe vaccine mandatory covid19vaccine,['COVID19Vaccine'],1,Portage,USA,0.16666666666666666,-0.16666666666666666,Negative
829,parisallergy,"Experts in treating and managing asthma, food allergies, allergic rhinitis, hives, dermatitis, anaphylaxis and frequent infections.","Michigan, USA",46,61,416,1336751891691298816,APPLE,2020-12-09,103,0,0,confusing reports allergic reactions covid19 vaccine covid19vaccine,['COVID19Vaccine'],1,Michigan,USA,0.4,-0.3,Negative
830,Ms_Michelle_Roy,"Actress, Writer, Filmmaker 🎦
Cat Whisperer 🐈
Dreamer of New Worlds 😎
Anything I want to be; come join me 😍
RTs do not equal endorsements  
Views are my own.","Toronto, Canada 🍁",4534,3090,58768,1336751720962076672,WEB,2020-12-09,158,1,0,covid19 vaccine canada avoid risks immunized via covid19 covid19vaccine,"['COVID19', 'COVID19Vaccine']",2,Toronto,CANADA,0.0,0.0,Neutral
834,WSUGlobalHealth,Official Twitter account for the Paul G. Allen School for Global Animal Health at Washington State University #WSUCVM #WSUGlobalHealth,"Pullman, WA",339,525,529,1336751474546622464,WEB,2020-12-09,209,6,3,icymi take minute read newest oped vaccination works train immune system covid19 covid19vaccine tco9j7cfjphum,"['COVID19', 'COVID19Vaccine']",2,Pullman,USA,0.0,0.0,Neutral
835,PeterJopling,"Cyber Security Evangelist, a reasonable high performance BMW UBoat Captain, but rubbish helicopter 🚁pilot","Hampshire, Blighty",167,3734,6763,1336751404359294988,APPLE,2020-12-09,245,1,0,german biotech firm group said wednesday regulation documents related covid19vaccine developing pfizer unlawfully accessed cyberattack europes medicines regulator,['COVID19Vaccine'],1,Hampshire,BLIGHTY,0.26666666666666666,-0.06666666666666667,Negative
837,SofijaTheodorou,Humanitarian. Student. Community engagement officer. Climate Action Champion York-South Weston. Environmentalist.,"Toronto, Ontario",213,195,5129,1336751250000539651,APPLE,2020-12-09,214,2,1,people need educate unfamiliar topics like epidemiology virology lack awareness result many major issues world climate change awareness educate covid19vaccine,"['awareness', 'educate', 'COVID19Vaccine']",3,Toronto,CANADA,0.5,0.28125,Positive
841,Hannahtraveller,"Writer, blogger, aid worker and musician.","London, England",447,86,151,1336750928674873347,APPLE,2020-12-09,152,0,0,sincerely agree vaccine needs available everyone severely doubt happen covid19vaccine,['COVID19Vaccine'],1,London,ENGLAND,0.45,0.45,Positive
843,Steff_Ke,"Es ist alles nur in deinem Kopf. Unclear why.
#fuckcancer","Berlin, Deutschland",585,63,1206,1336750803525177344,WEB,2020-12-09,65,0,0,keep rollin vax covid19vaccine,['COVID19Vaccine'],1,Berlin,DEUTSCHLAND,0.0,0.0,Neutral
847,AlenJuginovic,"M.D. & @harvardmed postdoc interested in #sleep, #neuroscience, project management. | #medicine and #science news. | @hotsciballoon | Feel free to reach out!","Boston, MA, USA",597,186,519,1336750620556988416,WEB,2020-12-09,283,0,0,latest summary safety amp efficacy group covid19 vaccine research fda documents found full fda report coronavirus vaccine covid19vaccine research science medicine health,"['safety', 'efficacy', 'covid19', 'research', 'coronavirus', 'vaccine', 'COVID19Vaccine', 'research', 'science', 'medicine', 'health']",11,Boston,USA,0.7250000000000001,0.425,Positive
849,AARPMichigan,"Nonprofit, nonpartisan. 1.4 million members in Michigan & more than 37 million members nationally helping people turn goals & dreams into real possibilities.","Lansing, MI",2435,5236,12376,1336750616807428103,WEB,2020-12-09,273,2,1,aarp encouraged progress covid19vaccine enter next phase calling policymakers put place transparent evidencebased plans prioritize safety protection especially highest risk,['COVID19Vaccine'],1,Lansing,USA,0.5,0.0,Neutral
853,kslnewsradio,Utah's #1 radio station. Traffic and weather every 10 minutes on the 9s. Stream live at https://t.co/3OEGoCUATG. Send story ideas to social@ksl.com.,"Salt Lake City, UT",609,28153,66959,1336750292935667712,TWEETDECK,2020-12-09,232,0,0,town hall utahs plan distribute covid19vaccine live dr immunizations director rich lakin governorelect watch,['COVID19Vaccine'],1,Salt Lake City,USA,0.625,0.2556818181818182,Positive
866,JoelRMelamedMD,"Attending MD,MetropolitanOperaPatron,GlimmerglassFestivalNationalCouncil,TanglewoodMusicCenterWalterPistonSociety,SEIU1199NE, #BLACK_LIVES_MATTER💪🏿‼️","Salisbury, CT",4995,982,28136,1336748967175081984,APPLE,2020-12-09,68,1,0,good start covid19vaccine,['COVID19Vaccine'],1,Salisbury,USA,0.6000000000000001,0.7,Positive
867,Esotericltd,"Providing end-to-end solutions to address the issues of corporate espionage, competitive intelligence gathering and theft of information, assets and IP.","Old Woking, Surrey",417,517,875,1336748915673141250,APPLE,2020-12-09,124,0,0,espionage health covid19 covid19vaccine european medicines agency hit cyberattack bbc news,"['espionage', 'health', 'COVID19', 'COVID19Vaccine']",4,Old Woking,SURREY,0.0,0.0,Neutral
869,therealgsnews,"REPUBLICAN, PUERTO RICAN, GOD LOVING✝️, PROUD AMERICAN HUSBAND🇺🇸, FATHER, JOURNALIST YT-GRANDSUPREMENEWS🎥#MAGA | RUN BY MANAGER WIFE. BRINGING BACK TRUE NEWS","Tampa, FL",214,2308,9739,1336748860866060288,APPLE,2020-12-09,113,1,1,check gsnewss video tiktok covid19vaccine corona coronavirus california trump,"['TikTok', 'COVID19Vaccine', 'Corona', 'Coronavirus', 'California', 'Trump']",6,Tampa,USA,0.0,0.0,Neutral
870,QuinnipiacPoll,"Independent, non-partisan national and statewide public opinion poll. 
Informing the nation on where voters stand on critical issues.","Hamden, Connecticut",2,89888,3446,1336748700090191872,TWEETDECK,2020-12-09,148,36,14,61 say willing get covid19vaccine 74 say someone know infected covid19 coronavirus,"['COVID19Vaccine', 'COVID19', 'Coronavirus']",3,Hamden,USA,0.75,0.25,Positive
872,BusyDrT,Doctor who speaks out about vaccines.,"Cleveland, Ohio",323,79906,15452,1336748567453642755,APPLE,2020-12-09,150,674,258,sacrificing youth took whole new meaning todayjacksonville teen talks covid19vaccine trial participation,"['Jacksonville', 'COVID19vaccine']",2,Cleveland,USA,0.28484848484848485,0.11212121212121212,Positive
875,Ibn_mimano,"Nothing created by Gᴏᴅ is as lit & firm as ʟᴏᴠᴇ❤. Siasa: Uʜᴜʀᴜ. Waiting for Jᴇsᴜs & Mᴀʜᴅɪ ☪️♒ #astrohistory

#SullixEnterprises Till 678129

+254706977620","Doha,Nairobi,Karatina",1640,1650,11991,1336748440764690432,ANDROID,2020-12-09,99,1,0,covid19vaccine,['COVID19Vaccine'],1,Doha,NAIROBIKARATINA,0.0,0.0,Neutral
878,drmakerbaker,"Maker, baker, cake decorator. Researcher: pharmacoepi, drug safety, MH, trial conduct methodology@mrcctu Mum 👧🏻👦🏻🐰🐰 Wife 🏴󠁧󠁢󠁳󠁣󠁴󠁿🧔🏻 MHFAider.","Bow, London",1528,334,4467,1336748203325222918,APPLE,2020-12-09,208,1,1,missed heres video well worth watch hear fellow panellists anna goodman kate bingham covid19vaccine,['COVID19Vaccine'],1,Bow,LONDON,0.1,0.3,Positive
884,MediaMilly,"Leslieville, Toronto ON Canada
I love my City, from East to West and everywhere in-between. Foundation in media planning. Current obsession in municipal Ec/Dev.","Leslieville, Toronto, Canada",1268,309,6158,1336747769072144385,ANDROID,2020-12-09,84,0,0,mustwatch vaccine covid19vaccine sciencerules,"['vaccine', 'COVID19Vaccine', 'sciencerules']",3,Leslieville,CANADA,0.0,0.0,Neutral
885,HealioGastro,"The content you need, when you need it.","Thorofare, NJ",1181,9303,10032,1336747730929131523,WEB,2020-12-09,307,10,4,new episode covid19vaccine telehealth amp impact virtual care ibd impact deferred procedureshome infusions remote patient monitoring ibd impact clinical trials covid risks ibd amp immunosuppression,"['COVID19Vaccine', 'Telehealth']",2,Thorofare,USA,0.32727272727272727,0.018181818181818174,Positive
886,Noo0ah,,"Toronto, ON",106,54,2772,1336747718732091393,ANDROID,2020-12-09,97,0,0,vaccine officially approved canada body ready little dose covid19vaccine,"['Canada', 'COVID19Vaccine']",2,Toronto,ON,0.5,0.0062500000000000056,Positive
